,URL,Titles,Price,Location,Rooms,Areas,Bathrooms,Listing Type
25,https://www.imovirtual.com/pt/anuncio/apartamento-t3-g-figueira-da-foz-ID1buic.html#25c4b4de04,Apartamento T3+G - Figueira da Foz,265 000 €,"Buarcos e São Julião, Figueira da Foz, Coimbra",T3,138 m²,2,Usado
26,https://www.imovirtual.com/pt/anuncio/t3-em-fase-final-de-remodelacao-total-situado-na-torre-d-ID1b7QN.html#25c4b4de04,"T3 em fase final de remodelação total, situado na Torre d...",185 000 €,"Seixal, Arrentela e Aldeia de Paio Pires, Seixal, Setúbal",T3,86 m²,1,Usado
27,https://www.imovirtual.com/pt/anuncio/duplex-t4-para-venda-ID1bKAh.html#25c4b4de04,Duplex T4 para venda,887 500 €,"Alvalade, Lisboa",T4,195 m²,2,Usado
28,https://www.imovirtual.com/pt/anuncio/apartamento-t3-penthouse-com-magnifico-terraco-garagem-fechada-e-arre-ID1bUiz.html#25c4b4de04,"Apartamento T3 Penthouse com magnífico terraço, garagem fechada e arre",210 000 €,"Nossa Senhora de Fátima, Entroncamento, Santarém",T3,"113,90 m²",,Usado
29,https://www.imovirtual.com/pt/anuncio/apartamento-t2-venda-em-mina-de-agua-amadora-ID1bouw.html#25c4b4de04,"Apartamento T2 Venda em Mina de Água,Amadora",149 500 €,"Mina de Água, Amadora, Lisboa",T2,67 m²,1,Usado
30,https://www.imovirtual.com/pt/anuncio/sao-marcos-fantastico-apartamento-t2-na-1-linha-da-urbanizacao-ID1bXvg.html#25c4b4de04,São Marcos - Fantástico apartamento T2 na 1ª linha da urbanização,179 500 €,"Cacém e São Marcos, Sintra, Lisboa",T2,74 m²,1,Usado
31,https://www.imovirtual.com/pt/anuncio/apartamento-t2-boavista-renovado-terraco-ID1bEOV.html#25c4b4de04,Apartamento T2 | Boavista | Renovado | Terraço,210 000 €,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto",T2,70 m²,1,
32,https://www.imovirtual.com/pt/anuncio/t2-remodelado-verderena-barreiro-ID1bXvx.html#25c4b4de04,T2 remodelado Verderena Barreiro,153 000 €,"Alto do Seixalinho, Santo André e Verderena, Barreiro, Setúbal",T2,57 m²,1,
33,https://www.imovirtual.com/pt/anuncio/novo-t2-1-loft-alto-nivel-cedofeita-ID1bXvw.html#25c4b4de04,Novo T2+1 LOFT - Alto Nível - Cedofeita,1 310 000 €,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto",T2,173 m²,2,Novo
34,https://www.imovirtual.com/pt/anuncio/t1-1-duplex-novo-alto-nivel-cedofeita-ID1bXv7.html#25c4b4de04,T1+1 Duplex Novo - Alto nível - Cedofeita,450 000 €,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto",T1,82 m²,2,Novo
