Title,Price,Location,Rooms,Area,URL,DateScraped,Page,UsefulArea,GrossArea,ConstructionYear,EnergeticCert,Enterprise,Bathrooms,Description
Apartamento T2 - Renovado,420 000 €,"AVer-o-Mar, Amorim e Terroso, Póvoa de Varzim, Porto",T2,93.0,https://www.imovirtual.com/pt/anuncio/apartamento-t2-renovado-ID1f3hL,2025-01-26,2,,,,,,,
Apartamento T3 para venda em Carcavelos,750 000 €,"Carcavelos Centro, Carcavelos e Parede, Cascais, Lisboa",T3,130.0,https://www.imovirtual.com/pt/anuncio/apartamento-t3-para-venda-em-carcavelos-ID1fZDM,2025-01-26,3,,,,,,,
"Apartamento T2 para venda em Lisboa, Av Novas",340 000 €,"Entrecampos, Avenidas Novas, Lisboa, Lisboa",T2,80.0,https://www.imovirtual.com/pt/anuncio/apartamento-t2-para-venda-em-lisboa-av-novas-ID1fIbS,2025-01-26,3,,,,,,,
Apartamento T4 180m2 - Pombalino - Sé Catedral,1 090 000 €,"Largo Júlio Pereira - Rua São João da Praça, Sé, Santa Maria Maior, Lisboa, Lisboa",T4,194.0,https://www.imovirtual.com/pt/anuncio/apartamento-t4-180m2-pombalino-se-catedral-ID1fz2m,2025-01-26,3,,,,,,,
Apartamento T3 para venda em Carcavelos,980 000 €,"Carcavelos Centro, Carcavelos e Parede, Cascais, Lisboa",T3,140.0,https://www.imovirtual.com/pt/anuncio/apartamento-t3-para-venda-em-carcavelos-ID1g0ym,2025-01-26,3,,,,,,,
T3 Montijo - USADO BOM ESTADO,215 000 €,"Montijo e Afonsoeiro, Montijo, Setúbal",T3,100.0,https://www.imovirtual.com/pt/anuncio/t3-montijo-usado-bom-estado-ID1fD2V,2025-01-26,2,,,,,,,
Oportunidade apartamento estado novo junto Pingo Doce Mariani em Gaia,185 000 €,"Barrosa - Devesas - Telheira do Meio, Santa Marinha e São Pedro da Afurada, Vila Nova de Gaia, Porto",T2,88.0,https://www.imovirtual.com/pt/anuncio/oportunidade-apartamento-estado-novo-junto-pingo-doce-mariani-em-gaia-ID1fq0o,2025-01-26,2,,,,,,,
Apartamento Moderno T2 em Pombal - Nunca Habitado!,225 000 €,"Pombal, Pombal, Leiria",T2,103.0,https://www.imovirtual.com/pt/anuncio/apartamento-moderno-t2-em-pombal-nunca-habitado-ID1g6xm,2025-01-26,2,,,,,,,
"Ritz Apartaments T1 com garagem, Parque Eduardo VII",750 000 €,"Av. da Liberdade - Marquês de Pombal, Santo António, Lisboa, Lisboa",T1,55.8,https://www.imovirtual.com/pt/anuncio/ritz-apartaments-t1-com-garagem-parque-eduardo-vii-ID1fPOX,2025-01-26,2,,,,,,,
Apartamento T2 - Central - Portimão,185 000 €,"Rua do Impasse à Rua Poeta António Aleixo, Portimão, Portimão, Faro",T2,80.0,https://www.imovirtual.com/pt/anuncio/apartamento-t2-central-portimao-ID1fGHU,2025-01-26,2,,,,,,,
Charmoso T1 em Santos com Vista Rio,350 000 €,"Santos-o-Velho - Madragoa, Estrela, Lisboa, Lisboa",T1,60.0,https://www.imovirtual.com/pt/anuncio/charmoso-t1-em-santos-com-vista-rio-ID1g1d1,2025-01-26,2,,,,,,,
"Apartamento T2 com garagem e piscina, em condomínio fechado - Vilam...",465 000 €,"Quarteira, Loulé, Faro",T2,128.5,https://www.imovirtual.com/pt/anuncio/apartamento-t2-com-garagem-e-piscina-em-condominio-fechado-vilam-ID1g6xy,2025-01-26,2,,,,,,,
T2 Confortável e Bem Conservado - Ideal para Família  - Portimão,269 000 €,"Rua Fernão Mendes Pinto, Portimão, Portimão, Faro",T2,91.0,https://www.imovirtual.com/pt/anuncio/t2-confortavel-e-bem-conservado-ideal-para-familia-portimao-ID1fMeg,2025-01-26,2,,,,,,,
T2+1 Azurara Premium-novo empreendimento,410 000 €,"Rua Doutor Américo Silva, Azurara, Vila do Conde, Porto",T3,112.0,https://www.imovirtual.com/pt/anuncio/t2-1-azurara-premium-novo-empreendimento-ID1g6xu,2025-01-26,2,,,,,,,
"Apartamento T0 em S. Vitor, Braga",175 000 €,"Rua Dom Pedro v - São Victor, Braga (São Vítor), Braga, Braga",T0,41.0,https://www.imovirtual.com/pt/anuncio/apartamento-t0-em-s-vitor-braga-ID1g6xw,2025-01-26,2,,,,,,,
Apartamento T5 para venda no centro de Lisboa,950 000 €,"Avenida António Augusto de Aguiar, Parque Eduardo VII, Avenidas Novas, Lisboa, Lisboa",T5,200.0,https://www.imovirtual.com/pt/anuncio/apartamento-t5-para-venda-no-centro-de-lisboa-ID1fMEe,2025-01-26,2,,,,,,,
Apartamento T1 à venda no Alto do Quintão em Portimão,192 000 €,"Rua Pereira de Sousa, Portimão, Portimão, Faro",T1,40.0,https://www.imovirtual.com/pt/anuncio/apartamento-t1-a-venda-no-alto-do-quintao-em-portimao-ID1fMHM,2025-01-26,2,,,,,,,
Apartamento T3 em Santo Tirso,170 000 €,"Rua Doutor José Cardoso Miranda, St. Tirso, Couto (S. Cristina e S. Miguel) e Burgães, Santo Tirso, Porto",T3,105.0,https://www.imovirtual.com/pt/anuncio/apartamento-t3-em-santo-tirso-ID1g6xk,2025-01-26,2,,,,,,,
Magnifico T3 em Alhandra,365 000 €,"Vila Franca de Xira, Vila Franca de Xira, Lisboa",T3,130.0,https://www.imovirtual.com/pt/anuncio/magnifico-t3-em-alhandra-ID1g4k5,2025-01-26,2,,,,,,,
Apartamento T0+1 à venda na Vila Rosa - Portimão,199 900 €,"Beco dos Mosaicos Romanos, Portimão, Portimão, Faro",T1,40.0,https://www.imovirtual.com/pt/anuncio/apartamento-t0-1-a-venda-na-vila-rosa-portimao-ID1g64o,2025-01-26,2,,,,,,,
Excelente T3 Matosinhos Sul,350 000 €,"Matosinhos Sul - Marginal, Matosinhos e Leça da Palmeira, Matosinhos, Porto",T3,115.0,https://www.imovirtual.com/pt/anuncio/excelente-t3-matosinhos-sul-ID1fmOG,2025-01-26,2,,,,,,,
"Apartamento T3 à venda em Nine, Vila Nova de Famalicão",260 000 €,"Nine, Vila Nova de Famalicão, Braga",T3,126.0,https://www.imovirtual.com/pt/anuncio/apartamento-t3-a-venda-em-nine-vila-nova-de-famalicao-ID1g6xp,2025-01-26,2,,,,,,,
"Apartamento T1 NOVO, para venda na Areosa - Viana do Castelo",195 000 €,"Santa Maria Maior e Monserrate e Meadela, Viana do Castelo, Viana do Castelo",T1,65.99,https://www.imovirtual.com/pt/anuncio/apartamento-t1-novo-para-venda-na-areosa-viana-do-castelo-ID1fPvg,2025-01-26,2,,,,,,,
Apartamento T4+1 em exclusivo na Foz do Douro,1 490 000 €,"Foz, Aldoar, Foz do Douro e Nevogilde, Porto, Porto",T5,265.6,https://www.imovirtual.com/pt/anuncio/apartamento-t4-1-em-exclusivo-na-foz-do-douro-ID1fOcT,2025-01-26,2,,,,,,,
Apartamento T1 com vista Piscina em Vilamoura,330 000 €,"Caminho do Lago - Vilamoura, Quarteira, Loulé, Faro",T1,62.39,https://www.imovirtual.com/pt/anuncio/apartamento-t1-com-vista-piscina-em-vilamoura-ID1fJil,2025-01-26,2,,,,,,,
Apartamento T3 para venda na Amorosa - Viana do Castelo,180 000 €,"Chafé, Viana do Castelo, Viana do Castelo",T3,92.3,https://www.imovirtual.com/pt/anuncio/apartamento-t3-para-venda-na-amorosa-viana-do-castelo-ID1fS0x,2025-01-26,2,,,,,,,
Apartamento T4 Novo em lagos,790 000 €,"São Gonçalo de Lagos, Lagos, Faro",T4,129.05,https://www.imovirtual.com/pt/anuncio/apartamento-t4-novo-em-lagos-ID1fHkI,2025-01-26,2,,,,,,,
Vendo Apartamento T.3 - Com parqueamento a 70 Mts da Praia em Nazaré,320 000 €,"Nazaré, Nazaré, Leiria",T3,120.0,https://www.imovirtual.com/pt/anuncio/vendo-apartamento-t-3-com-parqueamento-a-70-mts-da-praia-em-nazare-ID1fXbc,2025-01-26,2,,,,,,,
T1 Semi Novo com piscina em Condomínio Fechado  com Piscina e Garagem,315 000 €,"Rua das Ondas, Portimão, Portimão, Faro",T1,50.0,https://www.imovirtual.com/pt/anuncio/t1-semi-novo-com-piscina-em-condominio-fechado-com-piscina-e-garagem-ID1g3XK,2025-01-26,2,,,,,,,
OPORTUNIDADE INVESTIMENTO - Apartamento T3 100m2 - Rua do Norte - B...,448 500 €,"Rua do Norte - Bairro Alto, Bairro Alto, Misericórdia, Lisboa, Lisboa",T3,100.0,https://www.imovirtual.com/pt/anuncio/oportunidade-investimento-apartamento-t3-100m2-rua-do-norte-b-ID.1fbqq,2025-01-26,5,,,,,,,
